sentiment,text
negative,so life right now is as miserable as it gets. 
negative, i really do!  i'm just poor lol. i'd need to pay in installments. ha
negative,working 8 hours a day is tough! my feet hurt. 
negative, what the  about?
negative,"waiting for annabelle to pick me up, dont u just hate it wen friends r 45 mins late ahhhh n i dont even wana go out "
negative,feeling so useless not being in iran 
negative,changing the oil in the benz sure does put a dent in my bank account 
negative,i'm not getting any twitter updates from anyone. 
negative,olivia wilde in maxim....wow. why can't she be in my dreams and not the jonas brothers. /weep what is wrong with me 
negative, re: grayson high students -  i don't want that
negative,misses his big buddy brad and wishes he would come over so we can do work together 
negative," unfortunately that would involve installing the kde libs, dont feel like doing that just now  ... might give kde  a go soon"
negative, i am sorry girl 
negative,  i seriously wish i was going to that.  i want to see all time low so badly.
negative, every time you tweet about the redbull car i loose a little part of my soul. 
negative, i can't take tablets at all! 
negative,bored ! and really pissed off at some people who call themselves my friends ! 
negative," it's  on that fancy sky 1, eyes more bloodshot and swollen than pretty at the moment - i hate summer "
negative," awwwww, sorry to hear dat...   glad to know u doing a lil betta &amp; relaxed. hope u're good tho."
negative,apparently all my friends are asleep b/c no one remarked on anything i posted to my facebook wall 
negative,class for four hours indoors 
negative,off to work. might take friday off as well. i miss my sandy quite terribly 
negative,missing my baby so much! 
negative,homework 
negative, aw your not coming here 
negative,muscles hate me. been cramping up badly when i do mundane things like toss my hair or put on my seatbelt. 
negative, i have never manage to grow water melon  and i have tried a few times.
negative,feeling kind of down today. have no idea why.  
negative,hawk mountain with jocelyn! phone gonna die any minute 
negative," most planes dont, so yeah... no maria until tomorrow. "
negative,twitter keeps pulling me in...n draining my phone's battery! i guess that means put it down 
negative,meetin 4 lunch w/mom b4 she goes. im gonna miss her 
negative," i love your new playlist, i hate that you're working 15 hour days "
negative,back from a mini break in the spanish hillside..  fantastic!!  but simply too short  
negative,feeling feverish and tired 
negative, i can't capitalize my i 
negative,god this morning was every entional just then! seemed like they wanted him to cry! 
negative,"    hope you guys are all going well with your #net12 assignments...i'm trying to cut 34,354 down to 3,435 "
negative, i'm sure you'll miss her. 
negative,  my mom has that too.  i often wonder if i do as well.  i'm sorry you're hurting.    will keep you in my prayers.
negative, taking summer class starts monday 
negative,my sister has collapsed again  luckily there was someone to catch her this time. she's supposed to have a history exam today.
negative,just woke up. my back is fucked. what happened? i feel old. 
negative,i miss you 
negative,feels sad.. i wanna know why..  
negative, i knoooow  #whatsmysection
negative, i went to them but no one wants to type a quote out for me to give insurance  they'll have to accept a hand written one now
negative, i think we are expecting fireworks here.  
negative,shockin' moments   
negative,flipped to the tennis channel &amp; got a whole new wave of depression when i saw it was my rafa's losing match  i hate you soderling
negative,doesn't feel good. 
negative, i have a close friend who is one professionally. she says i'm mean enough but i am not consistent 
negative, i wanted to go 
negative,"mandy's gonna travel today, like... now! disney/ny  wanna go again."
negative, jun! i pmed you sa fb noon pa  di ka reply...
negative,watching the air france events unfold - never a good time to be working in an airline 
negative, this is not my country â tehran bureau (  )
negative,michelle must be mad at barrack again. he on tv trying to boost his ego again. there goes my 401 again 
negative,can't believe it's rainin on my week off  xxx
negative,"oy, why do i always embarrass myself in front of new people... social anxiety disorder... s.a.d "
negative,it is such a beautiful day! a perfect day to go to the beach if i wasnt working 
negative, sounds like you haven't had a good start to your day elexis  anyway someone like me could cheer you up??
negative, you can't get in in newc  and there proper lush!
negative," i'm not sure how i can ignore 25% off, but i don't really need anything. it makes me sad "
negative,  bad times do you get grants?
negative, buying a car takes forever (especially at a dealership). last time was 4+ hours 
negative," according to chapters web site - august 25th. i know, too long. sorry to be the bearer or bad news "
negative," yeah pretty much obsessed w mac! i gotta get the russian red, ruby woo is a matte and is hot at first but not enough moisture "
negative,eastenders now....cousins later 
negative,lowbatt  off.. 
negative,now it's raining heavily and the winds are kinda howling.  i'm scared.
negative,despite best efforts it's only taken 5 hours for the red tape to tie up my enthusiasm 
